BirdID	FlockID	HeadUps	FlockSize	TideState	NumPecks	TotalAggression	TimeOfDay	TimeHighTide	DaysStartWinter	Temperature
19	116	1	10	Low	10	0	0.75	4	4	7.2
20	116	0	10	Low	9	1	0.75	7	4	7.2
28	117	2	10	Low	9	0	0.79	31	4	7.2
29	117	4	10	Low	16	0	0.8	37	4	7.2
30	117	4	10	Low	20	0	0.81	43	4	9.4
31	117	0	10	Low	13	0	0.82	49	4	9.4
22	118	4	10	Low	16	0	0.76	10	4	7.2
24	119	3	11	Low	5	0	0.76	13	4	7.2
25	119	4	11	Low	5	0	0.77	16	4	7.2
32	119	2	11	Low	9	0	0.83	55	4	9.4
15	120	1	12	Low	9	0	0.74	55	4	7.2
9	121	2	12	Low	12	0	0.72	43	4	7.2
10	121	1	12	Low	8	0	0.72	46	4	7.2
12	121	4	12	Low	7	0	0.73	49	4	7.2
14	121	1	12	Low	11	0	0.74	55	4	7.2
17	121	2	12	Low	10	0	0.75	1	4	7.2
21	121	1	12	Low	8	0	0.75	7	4	7.2
23	121	3	12	Low	9	0	0.76	13	4	7.2
16	122	1	16	Low	9	0	0.74	58	4	7.2
18	122	6	16	Low	11	0	0.75	1	4	7.2
26	122	1	16	Low	7	1	0.77	19	4	7.2
27	122	1	16	Low	10	0	0.78	25	4	7.2
96	123	0	8	Low	4	0	0.8	52	5	11.3
94	124	0	14	Low	8	0	0.79	48	5	11.3
95	124	0	14	Low	27	0	0.79	50	5	11.3
82	125	1	16	Low	18	1	0.76	32	5	11.3
84	125	3	16	Low	9	0	0.77	34	5	11.3
85	125	2	16	Low	26	0	0.77	36	5	11.3
87	125	0	16	Low	11	1	0.77	38	5	11.3
88	125	0	16	Low	7	0	0.78	40	5	11.3
90	125	0	16	Low	7	0	0.78	42	5	11.3
91	125	1	16	Low	8	0	0.78	44	5	11.3
93	125	2	16	Low	10	0	0.79	46	5	11.3
68	126	2	3	Low	15	0	0.73	10	5	11.3
86	127	6	3	Low	12	0	0.77	38	5	11.3
89	127	12	3	Low	15	0	0.78	42	5	11.3
92	127	11	3	Low	9	0	0.79	46	5	11.3
71	128	1	4	Low	8	0	0.74	16	5	11.3
72	128	0	4	Low	12	0	0.74	18	5	11.3
78	128	0	4	Low	11	0	0.75	26	5	11.3
79	128	3	4	Low	7	0	0.76	28	5	11.3
69	129	2	4	Low	9	0	0.73	12	5	11.3
70	129	0	4	Low	10	1	0.73	14	5	11.3
73	130	2	5	Low	11	0	0.74	20	5	11.3
74	130	4	5	Low	9	0	0.75	22	5	11.3
76	130	3	5	Low	10	0	0.75	24	5	11.3
81	130	0	5	Low	3	0	0.76	30	5	11.3
83	131	0	6	Low	18	0	0.77	34	5	11.3
33	132	7	7	Low	17	0	0.43	-56	5	10.7
35	133	2	11	Low	11	0	0.45	-44	5	10.7
98	134	5	2	Low	21	0	0.42	-16	18	8.5
99	135	1	3	Low	21	0	0.54	56	18	8.6
112	135	2	3	Low	9	0	0.66	4	18	8.9
113	135	2	3	Low	8	0	0.67	10	18	8.9
97	136	2	5	Low	11	0	0.41	-22	18	8.4
100	136	3	5	Low	13	0	0.55	1	18	8.6
108	136	4	5	Low	12	0	0.62	40	18	8.9
109	136	2	5	Low	38	0	0.63	46	18	8.9
110	136	2	5	Low	31	0	0.64	52	18	8.9
111	136	2	5	Low	28	0	0.65	58	18	8.9
114	137	3	6	Low	13	0	0.67	10	18	8.9
101	138	1	8	Low	18	0	0.56	5	18	8.6
102	138	4	8	Low	12	0	0.57	9	18	8.6
103	138	0	8	Low	16	0	0.57	13	18	8.6
104	138	2	8	Low	12	0	0.58	17	18	8.6
105	138	2	8	Low	26	0	0.59	21	18	8.6
106	138	4	8	Low	28	0	0.59	25	18	8.6
107	138	4	8	Low	21	0	0.6	31	18	8.6
119	139	0	12	Low	18	0	0.72	40	18	8.8
120	139	2	12	Low	4	0	0.73	46	18	8.8
121	139	1	12	Low	10	0	0.74	51	18	8.8
116	140	4	16	Low	12	0	0.69	22	18	8.9
117	140	3	16	Low	14	0	0.7	28	18	8.9
118	140	1	16	Low	15	0	0.71	34	18	8.9
115	141	3	16	Low	12	0	0.68	16	18	8.9
122	142	5	6	Low	16	0	0.75	53	18	8.8
123	142	6	6	Low	20	0	0.75	55	18	8.8
124	142	4	6	Low	20	0	0.75	57	18	8.8
125	142	3	6	Low	26	0	0.76	59	18	8.8
126	142	3	6	Low	20	0	0.76	1	18	8.8
127	142	1	6	Low	11	0	0.76	3	18	8.8
176	143	3	7	Low	19	0	0.53	33	29	10.8
177	143	3	7	Low	9	0	0.54	37	29	10.8
178	143	4	7	Low	20	0	0.55	41	29	10.8
179	143	6	7	Low	24	0	0.56	45	29	10.8
180	143	2	7	Low	14	0	0.56	49	29	10.8
181	143	2	7	Low	16	0	0.57	53	29	10.8
182	143	2	7	Low	8	0	0.58	57	29	10.8
183	143	0	7	Low	17	0	0.58	1	29	10.8
184	143	1	7	Low	6	0	0.59	5	29	10.8
232	144	4	2	Low	5	0	0.45	-41	35	2.7
233	144	3	2	Low	7	0	0.45	-38	35	2.7
234	144	4	2	Low	8	0	0.46	-35	35	2.7
235	144	0	2	Low	11	0	0.47	-32	35	2.7
249	144	2	2	Low	4	0	0.56	-41	35	4.3
250	144	3	2	Low	8	0	0.57	-38	35	4.3
251	144	4	2	Low	7	0	0.57	-35	35	4.3
236	145	3	3	Low	7	0	0.47	-29	35	2.7
240	145	1	3	Low	12	0	0.49	-17	35	2.7
241	145	3	3	Low	9	0	0.49	-17	35	2.7
242	145	5	3	Low	14	0	0.5	-11	35	4.3
243	145	4	3	Low	8	0	0.51	-6	35	4.3
237	146	2	4	Low	3	0	0.48	-26	35	2.7
238	146	1	4	Low	9	0	0.48	-23	35	2.7
239	146	0	4	Low	10	0	0.49	-20	35	2.7
252	147	0	6	Low	9	0	0.58	-32	35	4.3
244	148	0	7	Low	18	0	0.52	-1	35	4.3
245	148	2	7	Low	15	0	0.6	-21	35	4.3
246	148	1	7	Low	9	0	0.6	-18	35	4.3
247	148	0	7	Low	16	0	0.61	-15	35	4.3
253	148	4	7	Low	4	0	0.58	-29	35	4.3
248	149	0	9	Low	20	0	0.62	-12	35	4.3
254	150	0	16	Low	25	0	0.64	-1	35	4.4
255	150	0	16	Low	29	0	0.64	2	35	4.4
256	150	0	16	Low	23	0	0.65	5	35	4.4
257	150	2	16	Low	18	0	0.65	8	35	4.4
258	150	0	16	Low	27	0	0.66	11	35	4.4
259	150	1	16	Low	22	0	0.66	14	35	4.4
260	150	0	16	Low	35	0	0.67	17	35	4.4
261	150	0	16	Low	26	0	0.68	20	35	4.4
262	150	0	16	Low	24	0	0.68	23	35	4.4
263	150	1	16	Low	26	0	0.69	26	35	4.4
264	150	1	16	Low	27	0	0.69	29	35	4.4
275	151	0	18	Low	23	0	0.81	29	35	4.5
276	151	0	18	Low	30	0	0.81	31	35	4.5
277	151	2	18	Low	23	0	0.81	33	35	4.5
278	151	2	18	Low	22	0	0.82	35	35	4.5
279	151	1	18	Low	21	0	0.82	37	35	4.5
280	151	1	18	Low	19	0	0.82	39	35	4.5
281	151	2	18	Low	18	0	0.83	41	35	4.5
282	151	1	18	Low	29	0	0.83	43	35	4.5
283	151	0	18	Low	25	0	0.84	45	35	4.5
284	151	0	18	Low	20	0	0.84	47	35	4.5
265	152	2	20	Low	17	0	0.73	49	35	4.5
266	152	1	20	Low	24	0	0.74	54	35	4.5
267	152	1	20	Low	18	0	0.75	59	35	4.5
268	152	1	20	Low	22	0	0.76	4	35	4.5
269	152	0	20	Low	24	0	0.77	9	35	4.5
270	152	0	20	Low	26	0	0.78	14	35	4.5
271	152	1	20	Low	27	0	0.79	19	35	4.5
272	152	0	20	Low	23	0	0.8	24	35	4.5
273	152	2	20	Low	27	0	0.81	29	35	4.5
274	152	2	20	Low	31	0	0.82	34	35	4.5
317	153	3	1	Low	12	0	0.74	15	36	8.9
315	154	0	3	Low	8	0	0.73	11	36	8.9
316	154	0	3	Low	8	0	0.74	13	36	8.9
322	154	2	3	Low	21	0	0.76	25	36	8.9
323	154	2	3	Low	16	0	0.76	27	36	8.9
324	154	2	3	Low	17	0	0.77	29	36	8.9
325	154	0	3	Low	17	0	0.77	31	36	8.9
326	154	3	3	Low	14	0	0.77	33	36	8.9
327	154	4	3	Low	7	0	0.78	35	36	8.9
328	154	3	3	Low	20	0	0.78	37	36	8.9
329	154	6	3	Low	11	0	0.79	39	36	8.9
330	155	3	4	Low	17	0	0.79	41	36	8.9
331	155	3	4	Low	19	0	0.79	43	36	8.9
332	155	2	4	Low	19	0	0.8	45	36	8.9
333	155	2	4	Low	18	0	0.82	57	36	8.9
334	155	0	4	Low	27	0	0.82	59	36	8.9
335	155	1	4	Low	21	0	0.83	1	36	8.9
336	155	0	4	Low	16	0	0.83	3	36	8.9
337	156	1	5	Low	21	0	0.83	5	36	8.9
318	157	0	6	Low	13	0	0.74	17	36	8.9
319	157	2	6	Low	12	0	0.75	19	36	8.9
320	157	0	6	Low	11	0	0.75	21	36	8.9
321	157	1	6	Low	9	0	0.76	23	36	8.9
338	158	2	6	Low	17	0	0.84	10	36	8.2
440	159	5	10	Low	16	0	0.38	6	42	7.4
442	159	2	10	Low	12	0	0.38	8	42	7.4
444	159	4	10	Low	9	0	0.38	10	42	7.5
446	159	8	10	Low	27	0	0.39	12	42	7.5
448	159	3	10	Low	18	0	0.39	14	42	7.5
450	159	1	10	Low	16	0	0.4	16	42	7.5
452	159	1	10	Low	16	0	0.4	18	42	7.5
454	159	1	10	Low	8	0	0.4	20	42	7.5
456	159	0	10	Low	11	0	0.41	22	42	7.5
458	159	1	10	Low	11	0	0.41	24	42	7.5
460	159	1	10	Low	9	0	0.41	26	42	7.5
461	159	0	10	Low	9	0	0.42	27	42	7.5
462	159	4	10	Low	17	0	0.42	29	42	7.5
463	159	2	10	Low	11	0	0.42	31	42	7.5
441	160	4	3	Low	23	0	0.38	7	42	7.4
443	160	3	3	Low	15	0	0.38	9	42	7.4
445	160	5	3	Low	8	0	0.39	11	42	7.5
447	160	6	3	Low	9	0	0.39	13	42	7.5
449	160	5	3	Low	13	0	0.39	15	42	7.5
451	160	3	3	Low	19	0	0.4	17	42	7.5
453	160	3	3	Low	19	0	0.4	19	42	7.5
455	160	1	3	Low	23	0	0.41	21	42	7.5
457	160	0	3	Low	22	0	0.41	23	42	7.5
459	160	1	3	Low	18	0	0.41	25	42	7.5
695	161	2	2	Low	17	0	0.32	37	88	8.7
696	161	2	2	Low	15	0	0.32	39	88	8.7
697	161	3	2	Low	25	0	0.32	41	88	8.7
698	161	0	2	Low	24	0	0.33	43	88	8.7
700	161	3	2	Low	22	0	0.34	47	88	8.7
701	161	4	2	Low	19	0	0.34	49	88	8.7
702	161	6	2	Low	27	0	0.34	51	88	8.7
703	161	1	2	Low	11	0	0.35	53	88	8.7
704	161	5	2	Low	16	0	0.35	55	88	8.7
705	161	3	2	Low	9	0	0.35	57	88	8.7
3	162	4	4	Low	26	0	0.59	25	4	6
6	163	2	4	Low	24	0	0.62	43	4	6.4
7	164	2	2	Low	5	0	0.71	37	4	6.4
5	165	3	2	Low	31	0	0.61	37	4	6
11	166	2	3	Low	6	0	0.73	49	4	7.2
4	167	1	4	Low	28	0	0.6	31	4	6
13	168	0	5	Low	9	0	0.73	52	4	7.2
34	169	1	3	Low	10	0	0.44	-50	5	10.7
36	170	3	5	Low	14	0	0.46	-38	5	10.7
67	171	2	6	Low	16	0	0.73	9	5	11.3
75	171	3	6	Low	11	0	0.75	22	5	11.3
77	171	2	6	Low	14	0	0.75	26	5	11.3
80	171	3	6	Low	22	0	0.76	30	5	11.3
41	172	5	2	Low	14	0	0.5	-8	5	10.7
42	172	2	2	Low	25	0	0.51	-2	5	10.7
39	173	3	4	Low	36	0	0.48	-20	5	10.7
40	173	2	4	Low	40	0	0.49	-14	5	10.7
60	174	1	4	Low	19	0	0.68	41	5	11.2
37	175	2	5	Low	25	0	0.47	-32	5	10.7
38	175	1	5	Low	16	0	0.47	-26	5	10.7
49	176	4	5	Low	13	0	0.58	40	5	11.3
50	176	2	5	Low	10	0	0.59	46	5	11.3
51	176	2	5	Low	8	0	0.6	52	5	11.3
48	177	0	6	Low	19	0	0.57	34	5	11.3
61	177	0	6	Low	17	0	0.69	45	5	11.2
62	177	1	6	Low	13	0	0.69	49	5	11.2
63	177	3	6	Low	16	0	0.7	53	5	11.2
64	177	1	6	Low	10	0	0.71	57	5	11.2
65	177	1	6	Low	14	0	0.71	1	5	11.3
66	177	2	6	Low	19	0	0.72	5	5	11.3
43	178	7	7	Low	17	0	0.52	4	5	11.3
44	178	4	7	Low	17	0	0.53	10	5	11.3
45	178	7	7	Low	17	0	0.54	16	5	11.3
46	178	5	7	Low	14	0	0.55	22	5	11.3
47	178	1	7	Low	14	1	0.56	28	5	11.3
52	178	2	7	Low	12	0	0.62	2	5	11.2
53	178	4	7	Low	17	0	0.64	15	5	11.2
54	178	0	7	Low	9	0	0.65	24	5	11.2
55	178	2	7	Low	13	0	0.66	26	5	11.2
56	178	2	7	Low	13	0	0.66	28	5	11.2
57	178	2	7	Low	11	0	0.66	30	5	11.2
58	178	3	7	Low	10	0	0.67	33	5	11.2
59	178	3	7	Low	9	0	0.67	37	5	11.2
694	179	8	2	Low	21	0	0.31	35	88	8.7
699	179	9	2	Low	19	0	0.33	45	88	8.7
