year,trip_id,stratum,area_trawled,long,lat,temp_bottom,depth,total,shrimp,cod,richness,x,y
2005,2005-30-629-1,348,0.2495044032,-51.64833333333333,47.51833333333333,-0.09999999999999432,160,203.68378011855464,1.6833370257731788,0,28,902860.6167757344,5276662.172017573
2005,2005-30-629-10,347,0.2495044032,-51.785,48.555,0.3,202,955.5342388442466,386.56632413291214,1.8035753847569773,23,884758.9817790107,5391131.742768472
2005,2005-30-629-11,347,0.2495044032,-51.57666666666667,48.11,-0.09999999999999432,196,505.5622200738781,172.78252185971846,0,20,903630.1534384761,5342767.265935212
2005,2005-30-629-12,348,0.2495044032,-51.43333333333333,48.428333333333335,-0.4000000000000057,135,772.371138658927,232.5009068216717,0,15,911721.8320810553,5378894.847030012
2005,2005-30-629-13,348,0.2495044032,-51.48166666666667,48.51,0.6,169,477.02564954172317,177.75237403104876,2.4047671796759698,15,907492.1805153145,5387707.941227113
2005,2005-30-629-14,347,0.2495044032,-51.44833333333333,48.69833333333333,0.7,208,2207.816747660508,586.7631918409367,0.12023835898379848,24,908427.1135591643,5408808.776094851
2005,2005-30-629-15,366,0.2495044032,-50.62,48.611666666666665,1.2,201,1714.0779662200366,378.75083079896524,0,21,970143.4695704889,5403964.5675351545
2005,2005-30-629-16,366,0.2495044032,-50.38666666666666,48.623333333333335,1.4,195,2092.1073668650993,461.63513959179704,0,20,987215.4835028107,5406728.513707559
2005,2005-30-629-17,366,0.2806924536,-50.665,48.9,0.9,234,4211.940808657351,1288.028927614889,4.987665261550159,22,964155.7629742257,5435712.802192254
2005,2005-30-629-18,366,0.2495044032,-50.291666666666664,48.92666666666667,2.3,227,3510.4791288909805,851.0871843403203,0,17,991229.9247135541,5441029.353273422
2005,2005-30-629-19,736,0.2495044032,-49.968333333333334,49.20166666666667,3.9,706,254.5045265157068,0.36071507695139543,0,28,1012044.7686187397,5473716.012800092
2005,2005-30-629-2,348,0.2183163528,-51.63666666666667,47.915,-0.20000000000000284,156,264.1579490512632,8.19911095546664,0,25,900677.8396361213,5320790.093333146
2005,2005-30-629-20,735,0.2806924536,-50.05,48.876666666666665,3.6,388,237.84038061506334,4.203889291877992,9.26280691430744,27,1009424.5354156869,5437073.486065471
2005,2005-30-629-21,368,0.2183163528,-49.885,48.64333333333333,3,312,642.0957395180523,129.4909869894089,4.122458022301663,16,1023942.3247725853,5412285.8652478065
2005,2005-30-629-22,366,0.2495044032,-50.108333333333334,48.405,0.9,190,1616.444418725192,473.33833986622,1.0019863248649874,24,1009903.6817430645,5384302.167600155
2005,2005-30-629-23,365,0.2495044032,-50.39666666666667,48.39833333333333,0.3,167,995.0125000439273,161.1995599442792,0.6011917949189924,22,988646.1973121034,5381675.133433547
2005,2005-30-629-24,365,0.2495044032,-50.38333333333333,48.165,-0,152,1281.4603505963296,229.9358218300173,0.4809534359351939,18,991876.2175411007,5355845.431200461
2005,2005-30-629-25,364,0.2183163528,-50.16166666666667,47.99666666666667,0.1,142,462.035934121743,64.03551461308582,0,19,1010014.2066302804,5338597.766754716
2005,2005-30-629-26,365,0.2495044032,-50.22,48.318333333333335,0.7,178,1866.3798875995149,408.69018218593106,1.843654837751577,24,1002501.6096942269,5373936.689468377
2005,2005-30-629-27,787,0.2495044032,-52.355,47.445,-0.7000000000000028,160,72.82436609118729,1.8436548377515767,15.029794872974811,25,850163.5135810561,5265083.9938237835
2005,2005-30-629-28,785,0.2183163528,-52.99333333333333,46.57333333333333,-0.4000000000000057,69,68.98246423984781,0,10.993221392804433,17,807011.9581316949,5165554.239165175
2005,2005-30-629-3,348,0.2495044032,-51.77,47.91166666666667,-0.29999999999999716,167,216.10841054688046,17.113926428693983,3.2063562395679597,27,890744.9650538248,5319734.612639731
2005,2005-30-629-30,784,0.2495044032,-53.09166666666667,46.583333333333336,4.8,53,57.033061611315084,0,3.9277863934707504,18,799422.6567051876,5166286.734166902
2005,2005-30-629-31,784,0.2495044032,-53.52333333333333,46.538333333333334,2.8,50,122.48280835149606,0,2.003972649729975,5,766575.0284683022,5159736.7726163585
2005,2005-30-629-32,786,0.2495044032,-53.74166666666667,46.87166666666667,0.5,142,874.1729492652096,0,13.426616753190832,24,748300.5721480574,5196058.503491979
2005,2005-30-629-33,786,0.2183163528,-53.93,46.763333333333335,0.8,108,333.7816845390246,4.305678378848403,20.383264665824885,22,734420.3420021137,5183442.278666482
2005,2005-30-629-34,785,0.2183163528,-53.788333333333334,46.48,0.6,75,485.25911431404234,0.045805089136685136,7.6952549749631025,24,746521.0584902497,5152393.74775227
2005,2005-30-629-35,328,0.2183163528,-54.025,46.24666666666667,-1.0999999999999943,142,281.2890523883834,1.5115679415106094,0,24,729330.9732210181,5125756.944990871
2005,2005-30-629-36,328,0.2495044032,-54.388333333333335,46.38166666666667,-1,108,212.82189540132333,0.4809534359351939,5.410726154270932,25,700829.1682685004,5139769.433031288
2005,2005-30-629-37,328,0.2495044032,-54.35,46.053333333333335,-0.5,114,154.18565567022426,0,0,25,704995.7952366917,5103387.625111365
2005,2005-30-629-38,328,0.2495044032,-53.64666666666667,46.18666666666667,-1.0999999999999943,142,115.62922188941955,0.2805561709621965,12.825424958271839,26,758775.8406194926,5120255.269735301
2005,2005-30-629-39,328,0.2495044032,-53.583333333333336,46.14666666666667,-1,145,121.36058366764728,0,0,26,763854.4171171503,5116019.774450172
2005,2005-30-629-4,344,0.2495044032,-52.041666666666664,47.901666666666664,-0.09999999999999432,184,475.1018357979824,38.11555979786412,0,31,870525.0103885878,5317281.184567508
